transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,Year,Month
180,11/5/2022,10:47:00,117,Male,41,Clothing,3,300,129,900,2022,Nov
522,7/9/2022,11:00:00,52,Male,46,Beauty,3,500,145,1500,2022,Jul
559,12/12/2022,10:48:00,5,Female,40,Clothing,4,300,84,1200,2022,Dec
1180,1/6/2022,8:53:00,85,Male,41,Clothing,3,300,129,900,2022,Jan
1522,11/14/2022,8:35:00,48,Male,46,Beauty,3,500,235,1500,2022,Nov
1559,8/20/2022,7:40:00,49,Female,40,Clothing,4,300,144,1200,2022,Aug
163,10/31/2022,9:38:00,144,Female,64,Clothing,3,50,23,150,2022,Oct
303,4/22/2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90,2022,Apr
421,4/8/2022,8:43:00,66,Female,37,Clothing,3,500,235,1500,2022,Apr
979,5/18/2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25,2022,May
1163,5/4/2022,10:52:00,120,Female,64,Clothing,3,50,27,150,2022,May
1303,3/19/2022,8:59:00,58,Male,19,Electronics,3,30,15,90,2022,Mar
1421,1/17/2022,7:07:00,59,Female,37,Clothing,3,500,185,1500,2022,Jan
1979,8/17/2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25,2022,Aug
610,12/18/2022,6:56:00,137,Female,26,Beauty,2,300,93,600,2022,Dec
1610,11/23/2022,10:18:00,1,Female,26,Beauty,2,300,102,600,2022,Nov
32,7/16/2022,9:11:00,150,Male,30,Beauty,3,30,8.4,90,2022,Jul
231,7/9/2022,7:02:00,50,Female,23,Clothing,3,50,26.5,150,2022,Jul
683,3/6/2022,10:22:00,82,Male,38,Beauty,2,500,175,1000,2022,Mar
1032,4/1/2022,8:15:00,1,Male,30,Beauty,3,30,10.5,90,2022,Apr
1231,1/29/2022,7:05:00,12,Female,23,Clothing,3,50,23,150,2022,Jan
1683,5/4/2022,7:19:00,98,Male,38,Beauty,2,500,220,1000,2022,May
367,12/30/2022,7:03:00,123,Female,57,Electronics,1,50,18,50,2022,Dec
391,3/25/2022,7:37:00,68,Male,19,Beauty,2,25,6.25,50,2022,Mar
432,3/10/2022,11:31:00,17,Female,,Electronics,2,500,190,1000,2022,Mar
1367,4/15/2022,11:38:00,16,Female,,Electronics,1,50,15.5,50,2022,Apr
1391,3/1/2022,11:29:00,130,Male,,Beauty,2,25,9.25,50,2022,Mar
1432,12/25/2022,6:24:00,67,Female,,Electronics,2,500,245,1000,2022,Dec
150,4/13/2022,8:25:00,89,Female,,Electronics,4,30,16.2,120,2022,Apr
845,10/27/2022,10:12:00,25,Male,,Clothing,1,500,145,500,2022,Oct
1150,8/22/2022,10:04:00,77,Female,,Electronics,4,30,10.2,120,2022,Aug
1845,5/24/2022,7:06:00,94,Male,,Clothing,1,500,185,500,2022,May
797,9/16/2022,6:38:00,116,Male,,Clothing,3,25,10.75,75,2022,Sep
921,9/28/2022,9:34:00,101,Male,,Electronics,3,25,8,75,2022,Sep
1797,4/16/2022,11:47:00,147,Male,40,Clothing,3,25,12.25,75,2022,Apr
1921,2/8/2022,7:01:00,77,Male,51,Electronics,3,25,7.5,75,2022,Feb
291,11/22/2022,8:29:00,15,Male,60,Clothing,2,300,126,600,2022,Nov
907,9/2/2022,6:16:00,145,Female,45,Electronics,1,25,8.5,25,2022,Sep
1291,4/4/2022,11:19:00,72,Male,60,Clothing,2,300,153,600,2022,Apr
1907,11/17/2022,11:21:00,115,Female,45,Electronics,1,25,9,25,2022,Nov
860,4/11/2022,8:58:00,85,Male,63,Clothing,4,50,16,200,2022,Apr
1860,3/12/2022,11:21:00,57,Male,63,Clothing,4,50,18,200,2022,Mar
184,2/13/2022,6:44:00,128,Male,31,Electronics,4,50,17,200,2022,Feb
734,3/12/2022,8:54:00,77,Female,27,Clothing,1,30,15.6,30,2022,Mar
1184,2/12/2022,8:28:00,23,Male,31,Electronics,4,50,27.5,200,2022,Feb
1734,2/28/2022,8:58:00,72,Female,27,Clothing,1,30,14.4,30,2022,Feb
225,3/5/2022,7:37:00,85,Female,57,Beauty,4,25,12.75,100,2022,Mar
679,8/26/2022,8:59:00,64,Female,18,Beauty,,,,,2022,Aug
746,7/5/2022,11:33:00,42,Female,33,Clothing,,,,,2022,Jul
1225,2/2/2022,9:51:00,137,Female,57,Beauty,,,,,2022,Feb
1679,9/23/2022,8:08:00,71,Female,18,Beauty,3,30,15.3,90,2022,Sep
1746,6/13/2022,7:59:00,88,Female,33,Clothing,3,30,10.8,90,2022,Jun
3,6/14/2022,7:08:00,114,Male,50,Electronics,1,30,8.1,30,2022,Jun
464,3/6/2022,11:13:00,24,Male,38,Electronics,2,300,75,600,2022,Mar
484,3/13/2022,7:52:00,135,Female,19,Clothing,4,300,75,1200,2022,Mar
591,3/21/2022,8:38:00,94,Male,53,Electronics,4,25,6.5,100,2022,Mar
1003,1/26/2022,7:59:00,80,Male,50,Electronics,1,30,15.9,30,2022,Jan
1464,11/13/2022,10:06:00,80,Male,38,Electronics,2,300,126,600,2022,Nov
1484,11/23/2022,9:29:00,22,Female,19,Clothing,4,300,147,1200,2022,Nov
1591,9/29/2022,11:00:00,62,Male,53,Electronics,4,25,7,100,2022,Sep
21,7/11/2022,7:33:00,59,Female,50,Beauty,1,500,275,500,2022,Jul
708,4/6/2022,8:38:00,62,Female,43,Beauty,3,300,87,900,2022,Apr
713,4/16/2022,11:43:00,39,Male,34,Beauty,3,25,11.25,75,2022,Apr
768,6/27/2022,6:50:00,58,Female,24,Beauty,3,25,10.5,75,2022,Jun
1021,6/11/2022,10:19:00,44,Female,50,Beauty,1,500,155,500,2022,Jun
1708,2/8/2022,7:47:00,41,Female,43,Beauty,3,300,162,900,2022,Feb
1713,10/3/2022,10:10:00,90,Male,34,Beauty,3,25,10.75,75,2022,Oct
1768,7/31/2022,9:52:00,85,Female,24,Beauty,3,25,8.75,75,2022,Jul
499,4/3/2022,10:52:00,15,Male,46,Beauty,2,30,16.5,60,2022,Apr
697,12/25/2022,7:52:00,152,Male,53,Clothing,1,500,200,500,2022,Dec
831,11/30/2022,11:49:00,149,Male,27,Electronics,4,25,13.75,100,2022,Nov
1499,9/23/2022,9:46:00,3,Male,46,Beauty,2,30,11.7,60,2022,Sep
1697,12/18/2022,8:22:00,54,Male,53,Clothing,1,500,265,500,2022,Dec
1831,3/26/2022,10:54:00,80,Male,27,Electronics,4,25,6.5,100,2022,Mar
15,7/1/2022,11:50:00,75,Female,42,Electronics,4,500,210,2000,2022,Jul
743,8/7/2022,7:54:00,55,Female,34,Beauty,4,500,260,2000,2022,Aug
1015,3/9/2022,11:53:00,94,Female,42,Electronics,4,500,200,2000,2022,Mar
1743,10/26/2022,9:37:00,47,Female,34,Beauty,4,500,250,2000,2022,Oct
14,5/18/2022,7:11:00,8,Male,64,Clothing,4,30,13.2,120,2022,May
103,11/12/2022,10:05:00,33,Female,59,Clothing,1,25,10.75,25,2022,Nov
238,5/10/2022,11:52:00,20,Female,39,Beauty,1,500,150,500,2022,May
986,8/1/2022,9:35:00,65,Female,49,Clothing,2,500,200,1000,2022,Aug
1014,2/4/2022,10:26:00,147,Male,64,Clothing,4,30,11.4,120,2022,Feb
1103,2/14/2022,7:11:00,61,Female,59,Clothing,1,25,6.75,25,2022,Feb
1238,9/17/2022,7:38:00,129,Female,39,Beauty,1,500,165,500,2022,Sep
1986,9/14/2022,8:28:00,29,Female,49,Clothing,2,500,145,1000,2022,Sep
438,8/31/2022,10:15:00,88,Female,42,Clothing,1,30,15.9,30,2022,Aug
1438,1/7/2022,10:00:00,72,Female,42,Clothing,1,30,13.8,30,2022,Jan
475,8/12/2022,10:39:00,78,Male,26,Clothing,3,25,9,75,2022,Aug
505,12/17/2022,7:25:00,86,Male,24,Beauty,1,50,19.5,50,2022,Dec
1475,10/4/2022,7:03:00,132,Male,26,Clothing,3,25,10.75,75,2022,Oct
1505,10/30/2022,8:00:00,98,Male,24,Beauty,1,50,14.5,50,2022,Oct
344,7/17/2022,9:47:00,69,Female,42,Beauty,1,30,7.5,30,2022,Jul
448,3/19/2022,9:36:00,86,Female,54,Beauty,2,30,16.2,60,2022,Mar
742,3/19/2022,6:08:00,37,Female,38,Electronics,4,500,195,2000,2022,Mar
1344,12/18/2022,6:12:00,144,Female,42,Beauty,1,30,11.1,30,2022,Dec
1448,5/16/2022,6:28:00,51,Female,54,Beauty,2,30,9.3,60,2022,May
1742,11/22/2022,8:25:00,18,Female,38,Electronics,4,500,220,2000,2022,Nov
445,4/14/2022,10:48:00,132,Female,53,Electronics,1,300,138,300,2022,Apr
787,6/10/2022,10:42:00,25,Male,41,Electronics,1,25,13.75,25,2022,Jun
1445,4/19/2022,6:16:00,31,Female,53,Electronics,1,300,129,300,2022,Apr
1787,5/30/2022,7:42:00,104,Male,41,Electronics,1,25,10,25,2022,May
49,9/17/2022,10:33:00,37,Female,54,Electronics,2,500,255,1000,2022,Sep
420,1/2/2022,10:53:00,28,Female,22,Clothing,4,500,200,2000,2022,Jan
519,4/8/2022,10:17:00,52,Female,36,Electronics,4,30,16.5,120,2022,Apr
1049,5/16/2022,6:36:00,143,Female,54,Electronics,2,500,125,1000,2022,May
1420,4/15/2022,7:01:00,138,Female,22,Clothing,4,500,205,2000,2022,Apr
1519,1/8/2022,7:35:00,139,Female,36,Electronics,4,30,9.3,120,2022,Jan
64,11/15/2022,6:34:00,7,Male,49,Clothing,4,25,8.5,100,2022,Nov
592,12/26/2022,9:15:00,77,Female,46,Beauty,4,500,275,2000,2022,Dec
912,10/31/2022,6:18:00,122,Male,51,Beauty,3,50,20.5,150,2022,Oct
1064,4/14/2022,10:38:00,49,Male,49,Clothing,4,25,13.75,100,2022,Apr
1592,3/16/2022,9:08:00,81,Female,46,Beauty,4,500,155,2000,2022,Mar
1912,5/27/2022,7:40:00,146,Male,51,Beauty,3,50,22,150,2022,May
134,8/25/2022,9:03:00,132,Male,49,Electronics,1,50,16,50,2022,Aug
1134,8/5/2022,9:04:00,106,Male,49,Electronics,1,50,24,50,2022,Aug
288,5/2/2022,9:59:00,27,Male,28,Clothing,4,30,12,120,2022,May
323,1/21/2022,8:22:00,97,Female,29,Beauty,3,300,150,900,2022,Jan
618,10/13/2022,10:22:00,5,Female,27,Beauty,1,50,26,50,2022,Oct
720,4/8/2022,8:50:00,116,Female,56,Beauty,3,500,235,1500,2022,Apr
1288,4/5/2022,11:56:00,26,Male,28,Clothing,4,30,9,120,2022,Apr
1323,8/15/2022,10:49:00,136,Female,29,Beauty,3,300,114,900,2022,Aug
1618,9/15/2022,6:27:00,118,Female,27,Beauty,1,50,13.5,50,2022,Sep
1720,10/10/2022,8:51:00,28,Female,56,Beauty,3,500,190,1500,2022,Oct
415,1/5/2022,9:59:00,85,Male,53,Clothing,2,30,8.1,60,2022,Jan
736,12/18/2022,8:30:00,97,Male,29,Clothing,4,25,9.75,100,2022,Dec
929,3/11/2022,10:18:00,40,Female,23,Beauty,3,25,10.5,75,2022,Mar
1415,3/6/2022,7:11:00,146,Male,53,Clothing,2,30,15.3,60,2022,Mar
1736,8/28/2022,8:57:00,87,Male,29,Clothing,4,25,10.25,100,2022,Aug
1929,9/15/2022,6:50:00,62,Female,23,Beauty,3,25,12.75,75,2022,Sep
264,12/26/2022,11:03:00,111,Male,47,Clothing,3,300,150,900,2022,Dec
913,10/12/2022,10:52:00,78,Male,29,Electronics,3,30,16.5,90,2022,Oct
940,1/5/2022,8:11:00,46,Female,20,Electronics,1,30,9.6,30,2022,Jan
1264,5/27/2022,9:23:00,82,Male,47,Clothing,3,300,123,900,2022,May
1913,6/23/2022,7:10:00,101,Male,29,Electronics,3,30,14.1,90,2022,Jun
1940,6/15/2022,9:47:00,56,Female,20,Electronics,1,30,11.1,30,2022,Jun
101,1/8/2022,8:46:00,24,Male,32,Clothing,2,300,135,600,2022,Jan
1101,5/17/2022,7:47:00,15,Male,32,Clothing,2,300,132,600,2022,May
189,1/2/2022,9:44:00,143,Male,63,Beauty,1,50,14.5,50,2022,Jan
317,5/4/2022,7:54:00,117,Male,22,Electronics,3,30,12,90,2022,May
322,10/19/2022,6:11:00,13,Male,51,Electronics,1,500,125,500,2022,Oct
329,10/27/2022,7:42:00,52,Female,46,Electronics,4,25,8,100,2022,Oct
1189,12/7/2022,6:08:00,104,Male,63,Beauty,1,50,20.5,50,2022,Dec
1317,8/25/2022,8:02:00,144,Male,22,Electronics,3,30,12,90,2022,Aug
1322,11/14/2022,9:56:00,10,Male,51,Electronics,1,500,250,500,2022,Nov
1329,1/27/2022,10:39:00,119,Female,46,Electronics,4,25,9.25,100,2022,Jan
235,3/10/2022,10:13:00,132,Female,23,Electronics,2,500,275,1000,2022,Mar
300,1/8/2022,9:41:00,138,Female,19,Electronics,4,50,26.5,200,2022,Jan
964,8/26/2022,8:18:00,15,Male,24,Clothing,3,300,156,900,2022,Aug
1235,4/4/2022,6:44:00,87,Female,23,Electronics,2,500,220,1000,2022,Apr
1300,8/8/2022,8:57:00,7,Female,19,Electronics,4,50,24,200,2022,Aug
1964,8/2/2022,8:27:00,115,Male,24,Clothing,3,300,111,900,2022,Aug
269,9/19/2022,11:31:00,87,Male,25,Clothing,4,500,250,2000,2022,Sep
320,4/20/2022,8:35:00,57,Female,28,Electronics,4,300,159,1200,2022,Apr
673,7/4/2022,10:14:00,18,Female,43,Clothing,3,500,270,1500,2022,Jul
1269,1/1/2022,8:09:00,71,Male,25,Clothing,4,500,145,2000,2022,Jan
1320,11/2/2022,11:55:00,102,Female,28,Electronics,4,300,84,1200,2022,Nov
1673,6/14/2022,7:36:00,42,Female,43,Clothing,3,500,185,1500,2022,Jun
142,4/8/2022,10:05:00,61,Male,35,Electronics,4,300,138,1200,2022,Apr
223,1/15/2022,11:18:00,61,Female,64,Clothing,1,25,12,25,2022,Jan
666,3/3/2022,10:59:00,49,Male,51,Electronics,3,50,16,150,2022,Mar
1142,11/9/2022,9:49:00,2,Male,35,Electronics,4,300,114,1200,2022,Nov
1223,2/20/2022,7:40:00,106,Female,64,Clothing,1,25,9.75,25,2022,Feb
1666,12/8/2022,10:10:00,125,Male,51,Electronics,3,50,21,150,2022,Dec
107,10/6/2022,9:18:00,75,Female,21,Clothing,4,300,78,1200,2022,Oct
933,9/19/2022,7:53:00,81,Male,22,Beauty,1,30,12.9,30,2022,Sep
1107,12/31/2022,11:14:00,62,Female,21,Clothing,4,300,102,1200,2022,Dec
1933,1/12/2022,11:04:00,121,Male,22,Beauty,1,30,14.4,30,2022,Jan
237,4/11/2022,8:54:00,105,Female,50,Beauty,2,500,165,1000,2022,Apr
335,2/2/2022,9:23:00,2,Female,47,Beauty,4,30,10.8,120,2022,Feb
1237,2/23/2022,9:20:00,48,Female,50,Beauty,2,500,215,1000,2022,Feb
1335,5/27/2022,8:45:00,117,Female,47,Beauty,4,30,8.7,120,2022,May
63,2/3/2022,11:49:00,127,Male,57,Electronics,2,25,6.25,50,2022,Feb
195,8/14/2022,11:51:00,10,Male,52,Clothing,1,30,9.3,30,2022,Aug
333,10/6/2022,8:15:00,21,Female,54,Electronics,4,300,99,1200,2022,Oct
379,6/1/2022,7:28:00,76,Female,47,Clothing,1,25,8.5,25,2022,Jun
490,1/27/2022,6:07:00,43,Male,34,Clothing,3,50,18.5,150,2022,Jan
530,5/1/2022,7:52:00,8,Female,18,Electronics,4,30,9,120,2022,May
740,12/1/2022,6:58:00,33,Female,25,Beauty,4,50,13,200,2022,Dec
793,5/27/2022,10:53:00,1,Male,54,Beauty,1,30,14.7,30,2022,May
1063,8/4/2022,10:26:00,56,Male,57,Electronics,2,25,11,50,2022,Aug
1195,9/21/2022,7:07:00,55,Male,52,Clothing,1,30,12,30,2022,Sep
1333,11/1/2022,11:38:00,151,Female,54,Electronics,4,300,165,1200,2022,Nov
1379,1/2/2022,6:23:00,69,Female,47,Clothing,1,25,7.25,25,2022,Jan
1490,10/26/2022,7:15:00,155,Male,34,Clothing,3,50,17,150,2022,Oct
1530,12/10/2022,8:17:00,93,Female,18,Electronics,4,30,12.3,120,2022,Dec
1740,7/16/2022,6:01:00,66,Female,25,Beauty,4,50,27,200,2022,Jul
1793,12/11/2022,6:05:00,88,Male,54,Beauty,1,30,10.8,30,2022,Dec
85,9/3/2022,8:05:00,68,Male,31,Clothing,3,50,19,150,2022,Sep
232,8/12/2022,7:14:00,150,Female,43,Beauty,1,25,12.75,25,2022,Aug
240,11/5/2022,11:49:00,95,Female,23,Beauty,1,300,123,300,2022,Nov
993,9/7/2022,9:21:00,134,Female,48,Electronics,3,50,17,150,2022,Sep
1085,8/12/2022,9:29:00,76,Male,31,Clothing,3,50,17,150,2022,Aug
1232,5/23/2022,8:05:00,146,Female,43,Beauty,1,25,6.25,25,2022,May
1240,8/7/2022,7:42:00,144,Female,23,Beauty,1,300,90,300,2022,Aug
1993,12/29/2022,11:53:00,123,Female,48,Electronics,3,50,26.5,150,2022,Dec
366,10/29/2022,9:32:00,116,Male,57,Clothing,2,50,17.5,100,2022,Oct
372,6/19/2022,11:45:00,27,Female,24,Beauty,3,500,140,1500,2022,Jun
596,2/12/2022,8:44:00,87,Female,64,Electronics,1,300,93,300,2022,Feb
